name,time,rating,source,item,kha_nng_은어전처리_sentence,감성결과,어간추출,sentence_조사제거
경쟁사,2022-10-19,4,naver,뿌리영양제,"['전문가', '느낌']",부정,"[('전문가', 'Noun'), ('가', 'Josa'), ('아니다', 'Adjective'), ('정확하다', 'Adjective'), ('모르다', 'Verb'), ('느낌', 'Noun'), ('상', 'Suffix'), ('그렇다', 'Adjective')]",전문가 아니다 정확하다 모르다 느낌 상 그렇다
경쟁사,2022-10-05,4,naver,뿌리영양제,['물'],부정,"[('물', 'Noun'), ('에', 'Josa'), ('타다', 'Verb'), ('주', 'Noun'), ('니까', 'Josa'), ('오래', 'Adverb'), ('쓸다', 'Verb'), ('같다', 'Adjective')]",물 타다 주 오래 쓸다 같다
경쟁사,2022-10-21,3,naver,뿌리영양제,"['처음', '사용', '번', '사용']",부정,"[('처음', 'Noun'), ('사용', 'Noun'), ('해보다', 'Verb'), ('한번', 'Noun'), ('자다', 'Verb'), ('사용', 'Noun'), ('해보다', 'Verb')]",처음 사용 해보다 한번 자다 사용 해보다
경쟁사,2022-10-20,4,naver,뿌리영양제,"['사용전', '식물']",부정,"[('사용', 'Noun'), ('전이', 'Noun'), ('지만', 'Josa'), ('식물', 'Noun'), ('이', 'Josa'), ('잘', 'VerbPrefix'), ('자르다', 'Verb')]",사용 전이 식물 잘 자르다
경쟁사,2022-09-24,4,naver,뿌리영양제,"['식물', '잔뿌리']",부정,"[('식물', 'Noun'), ('에', 'Josa'), ('잔뿌리', 'Noun'), ('가', 'Josa'), ('올라오다', 'Verb'), ('솔직하다', 'Adjective'), ('빨리', 'Adverb'), ('자라다', 'Verb'), ('잘', 'VerbPrefix'), ('모르다', 'Verb')]",식물 잔뿌리 올라오다 솔직하다 빨리 자라다 잘 모르다
경쟁사,2022-09-18,4,naver,뿌리영양제,['효과'],부정,"[('효과', 'Noun'), ('가', 'Josa'), ('있다', 'Adjective'), ('좋다', 'Adjective')]",효과 있다 좋다
경쟁사,2022-09-18,4,naver,뿌리영양제,"['발근제', '사용', '첨', '아리줄기', '구입']",부정,"[('발근', 'Noun'), ('제', 'Noun'), ('사용', 'Noun'), ('은', 'Josa'), ('첨', 'Noun'), ('이라', 'Josa'), ('ㅡ', 'KoreanParticle'), ('으', 'Adverb'), ('아리', 'Noun'), ('줄기', 'Noun'), ('에서', 'Josa'), ('뿌리', 'Noun'), ('내리다', 'Verb'), ('구입', 'Noun'), ('하다', 'Verb')]",발근 제 사용 첨 ㅡ 으 아리 줄기 뿌리 내리다 구입 하다
경쟁사,2022-09-03,4,naver,뿌리영양제,"['앞', '효과']",부정,"[('앞', 'Noun'), ('으로는', 'Josa'), ('효과', 'Noun'), ('가', 'Josa'), ('있다', 'Adjective'), ('바라다', 'Verb')]",앞 효과 있다 바라다
경쟁사,2022-08-26,4,naver,뿌리영양제,"['다육식물', '영양제', '사용']",부정,"[('다육식물', 'Noun'), ('영양', 'Noun'), ('제로', 'Noun'), ('사용', 'Noun'), ('하고', 'Josa'), ('있다', 'Adjective')]",다육식물 영양 제로 사용 있다
경쟁사,2022-07-10,4,naver,뿌리영양제,"['레몬', '망고', '투여', '효능', '눈', '확인', '재구매', '계정']",부정,"[('레몬', 'Noun'), ('과', 'Josa'), ('망고', 'Noun'), ('에', 'Josa'), ('하다', 'Verb'), ('번', 'Noun'), ('투여', 'Noun'), ('하다', 'Verb'), ('아직', 'Adverb'), ('효능', 'Noun'), ('을', 'Josa'), ('눈', 'Noun'), ('으로', 'Josa'), ('확인', 'Noun'), ('못', 'Noun'), ('하다', 'Verb'), ('좋다', 'Adjective'), ('재다', 'Verb'), ('하다', 'Verb'), ('계정', 'Noun'), ('이다', 'Adjective')]",레몬 망고 하다 번 투여 하다 아직 효능 눈 확인 못 하다 좋다 재다 하다 계정 이다
